County/Sub County,Total Population,,,Persons With Albinism,,
,Total*,Male,Female,Total*,Male,Female
KENYA,"47,213,282","23,315,538","23,896,364","9,729","4,467","5,261"
Rural,"32,615,723","16,121,886","16,493,031","7,470","3,414","4,055"
Urban,"14,597,559","7,193,652","7,403,333","2,259","1,053","1,206"
MOMBASA,"1,190,987","598,314","592,656",209,102,107
CHANGAMWE,"130,541","67,825","62,716",25,15,10
JOMVU,"162,760","82,608","80,149",35,12,23
KISAUNI,"287,131","143,186","143,942",59,30,29
LIKONI,"249,230","126,161","123,065",37,20,17
MVITA,"147,983","71,229","76,752",20,9,11
NYALI,"213,342","107,305","106,032",33,16,17
KWALE,"858,748","420,556","438,176",171,79,92
KINANGO,"93,789","45,099","48,689",21,9,12
LUNGA LUNGA,"198,195","97,019","101,173",40,15,25
MATUGA,"192,999","95,096","97,901",32,18,14
MSAMBWENI,"173,213","86,899","86,311",33,16,17
SAMBURU,"200,552","96,443","104,102",45,21,24
KILIFI,"1,440,958","695,879","745,059",265,122,143
CHONYI,"62,318","29,517","32,800",4,-,4
GANZE,"143,590","66,741","76,845",32,15,17
KALOLENI,"192,905","92,000","100,900",31,13,18
KAUMA,"22,613","10,951","11,662",8,6,2
KILIFI NORTH,"177,527","86,099","91,426",55,25,30
KILIFI SOUTH,"203,891","100,019","103,871",38,16,22
MAGARINI,"190,644","92,592","98,052",38,20,18
MALINDI,"326,991","159,583","167,401",44,20,24
RABAI,"120,479","58,377","62,102",15,7,8
TANA RIVER,"314,710","157,511","157,197",82,52,30
TANA DELTA,"110,293","55,426","54,867",27,17,10
TANA NORTH,"116,463","58,863","57,598",34,21,13
TANA RIVER,"87,954","43,222","44,732",21,14,7
LAMU,"141,909","74,669","67,237",17,8,9
LAMU EAST,"22,212","11,633","10,579",4,1,3
LAMU WEST,"119,697","63,036","56,658",13,7,6
TAITA/TAVETA,"335,747","169,778","165,963",79,36,43
MWATATE,"81,389","41,280","40,107",23,9,14
TAITA,"55,643","28,163","27,480",23,9,14
TAVETA,"89,319","45,797","43,522",5,2,3
VOI,"109,396","54,538","54,854",28,16,12
GARISSA,"835,482","454,437","381,012",514,259,255
BALAMBALA,"31,819","19,894","11,924",1,1,-
DADAAB,"183,410","97,713","85,690",43,26,17
FAFI,"133,286","72,043","61,233",20,9,11
GARISSA,"161,951","81,846","80,100",35,12,23
HULUGHO,"133,746","77,885","55,856",179,95,84
IJARA,"141,418","80,351","61,063",224,110,114
LAGDERA,"49,852","24,705","25,146",12,6,6
WAJIR,"775,302","411,369","363,886",122,66,56
BUNA,"48,117","25,758","22,357",4,1,3
ELDAS,"88,905","44,884","44,014",40,22,18
HABASWEIN,"173,446","94,211","79,220",30,19,11
TARBAJ,"56,388","26,711","29,672",9,6,3
WAJIR EAST,"109,316","58,252","51,062",7,5,2
