County,Distribution_Centres_Hospitals/Health_Centres,Number_Of_Registered_Persons_With_Albinism,Distibuted_Sunscreen_Lotions,Distributed_Lip_Care_Products,Distributed_After_Sun_Lotions,Distributed_Protective_Clothings_Caps,Distributed_Protective_Clothings_Long_sleeved_T-Shirts,Financial_Year_Ending,Centroid_x,Centoid_Y,OBJECTID
Baringo,Baringo District Hospital,2,72,72,72,18,18,6/30/2017,35.9461427526,0.66898646421,0
Baringo,Marigat Referal,1,36,36,36,9,9,6/30/2017,35.9461427526,0.66898646421,1
Bomet,Bomet/Longisa District Hospital,28,1008,1008,1008,252,252,6/30/2017,35.2718580721,-0.82831351695,2
Bomet,Kapkatet,14,504,504,504,126,126,6/30/2017,35.2718580721,-0.82831351695,3
Bomet,Sigor,7,252,252,252,63,63,6/30/2017,35.2718580721,-0.82831351695,4
Bungoma,Bumula,11,396,396,396,99,99,6/30/2017,34.6400640229,0.75126686656,5
Bungoma,Cheptais,26,936,936,936,234,234,6/30/2017,34.6400640229,0.75126686656,6
Bungoma,Kabubachi (Kabuchai),14,504,504,504,126,126,6/30/2017,34.6400640229,0.75126686656,7
Bungoma,Kanduyi/Bungoma District Hospital,40,1440,1440,1440,360,360,6/30/2017,34.6400640229,0.75126686656,8
Bungoma,Kimilili,20,720,720,720,180,180,6/30/2017,34.6400640229,0.75126686656,9
Bungoma,Mt. Elgon,11,396,396,396,99,99,6/30/2017,34.6400640229,0.75126686656,10
Bungoma,Sirisia,19,684,684,684,171,171,6/30/2017,34.6400640229,0.75126686656,11
Bungoma,Tongaren,31,1116,1116,1116,279,279,6/30/2017,34.6400640229,0.75126686656,12
Bungoma,Webuye,57,2052,2052,2052,513,513,6/30/2017,34.6400640229,0.75126686656,13
Busia,Busia Referal Hospital,20,720,720,720,180,180,6/30/2017,34.2119561811,0.41492227215,14
Busia,Kocholia/Teso Hospital,9,324,324,324,81,81,6/30/2017,34.2119561811,0.41492227215,15
Busia,Port Victoria District Hospital,2,72,72,72,18,18,6/30/2017,34.2119561811,0.41492227215,16
Busia,Sio Port District Hospital,3,108,108,108,27,27,6/30/2017,34.2119561811,0.41492227215,17
E. Markwet,Iten Dist Hospital,1,36,36,36,9,9,6/30/2017,35.5371338526,0.80114179429,18
Embu,Ishiara Level 4 Hospital,5,180,180,180,45,45,6/30/2017,37.6238616686,-0.59958376149,19
Embu,Runyenjes Level 4 Hospital,10,360,360,360,90,90,6/30/2017,37.6238616686,-0.59958376149,20
Embu,Embu Provisional General Hospital,22,792,792,792,198,198,6/30/2017,37.6238616686,-0.59958376149,21
Embu,Siakago Lev 4,2,72,72,72,18,18,6/30/2017,37.6238616686,-0.59958376149,22
Garissa,Garissa Provisional General Hsopital,12,432,432,432,108,108,6/30/2017,40.1659770508,-0.48134973657,23
Garissa,Masalani District Hospital,4,144,144,144,36,36,6/30/2017,40.1659770508,-0.48134973657,24
Homa Bay,Ndistrict Hospitaliwa District Hospital,2,72,72,72,18,18,6/30/2017,34.4425634908,-0.56946160546,25
Homa Bay,Rangwe Sub District Hospital,4,144,144,144,36,36,6/30/2017,34.4425634908,-0.56946160546,26
Homa Bay,Sindo Sub District Hospital,5,180,180,180,45,45,6/30/2017,34.4425634908,-0.56946160546,27
Homa Bay,Mbita District Hospital,3,108,108,108,27,27,6/30/2017,34.4425634908,-0.56946160546,28
Homa Bay,Homa Bay Lev 4 District Hsopital,19,684,684,684,171,171,6/30/2017,34.4425634908,-0.56946160546,29
Homa Bay,Kendu Bay District Hospital,5,180,180,180,45,45,6/30/2017,34.4425634908,-0.56946160546,30
Homa Bay,Rachuonyo District Hospital,8,288,288,288,72,72,6/30/2017,34.4425634908,-0.56946160546,31
Isiolo,Isiolo District Hospital,4,144,144,144,36,36,6/30/2017,38.5339805227,1.0072914034,32
Kajiado,Kajiado District Hospital,13,468,468,468,117,117,6/30/2017,36.9148132847,-2.11557571964,33
Kajiado,Loitoktok Sub-District Hospital,8,288,288,288,72,72,6/30/2017,36.9148132847,-2.11557571964,34
Kajiado,Ngong Sub-District Hospital,7,252,252,252,63,63,6/30/2017,36.9148132847,-2.11557571964,35
Kajiado,Ongata Rongai Hospital,6,216,216,216,54,54,6/30/2017,36.9148132847,-2.11557571964,36
Kajiado,Ereteti Dispensary,3,108,108,108,27,27,6/30/2017,36.9148132847,-2.11557571964,37
Kajiado,Kitengela,5,180,180,180,45,45,6/30/2017,36.9148132847,-2.11557571964,38
Kakamega,Kakamega Provisional General Hospital,42,1512,1512,1512,378,378,6/30/2017,34.7447528077,0.40657132336,39
Kakamega,Likuyani,19,684,684,684,171,171,6/30/2017,34.7447528077,0.40657132336,40
Kakamega,Malava District Hospital,42,1512,1512,1512,378,378,6/30/2017,34.7447528077,0.40657132336,41
Kakamega,Lumakanda District Hospital,23,828,828,828,207,207,6/30/2017,34.7447528077,0.40657132336,42
Kakamega,Butere D H,55,1980,1980,1980,495,495,6/30/2017,34.7447528077,0.40657132336,43
Kakamega,Matungu,17,612,612,612,153,153,6/30/2017,34.7447528077,0.40657132336,44
Kakamega,Navakholo,12,432,432,432,108,108,6/30/2017,34.7447528077,0.40657132336,45
Kericho,Kapkatet Hospital,13,468,468,468,117,117,6/30/2017,35.3205052177,-0.36660692784,46
Kericho,Kericho District Hospital,18,648,648,648,162,162,6/30/2017,35.3205052177,-0.36660692784,47
Kericho,Londiani District Hospital,7,252,252,252,63,63,6/30/2017,35.3205052177,-0.36660692784,48
Kericho,Kipkelion Sub- District Hospital,5,180,180,180,45,45,6/30/2017,35.3205052177,-0.36660692784,49
Kiambu,Thika Level 5 Hospital,113,4068,4068,4068,1017,1017,6/30/2017,36.8853971926,-1.03764135132,50
Kiambu,Kiambu Dist Hospital,30,1080,1080,1080,270,270,6/30/2017,36.8853971926,-1.03764135132,51
Kiambu,Tigoni Distict Hospital,4,144,144,144,36,36,6/30/2017,36.8853971926,-1.03764135132,52
Kiambu,Kijabe District Hospital,6,216,216,216,54,54,6/30/2017,36.8853971926,-1.03764135132,53
Kilifi,Chalani Dispensary,1,36,36,36,9,9,6/30/2017,39.6810389788,-3.15289207705,54
Kilifi,Ganze Dispensary,5,180,180,180,45,45,6/30/2017,39.6810389788,-3.15289207705,55
Kilifi,Gotani Dispensary,3,108,108,108,27,27,6/30/2017,39.6810389788,-3.15289207705,56
Kilifi,Bomani,1,36,36,36,9,9,6/30/2017,39.6810389788,-3.15289207705,57
Kilifi,Kilifi Hospital,6,216,216,216,54,54,6/30/2017,39.6810389788,-3.15289207705,58
Kilifi,Kizingo Dispensary,3,108,108,108,27,27,6/30/2017,39.6810389788,-3.15289207705,59
Kilifi,Malindi Hos,48,1728,1728,1728,432,432,6/30/2017,39.6810389788,-3.15289207705,60
Kilifi,Mariakani,4,144,144,144,36,36,6/30/2017,39.6810389788,-3.15289207705,61
Kilifi,Matsangoni Dispensary,2,72,72,72,18,18,6/30/2017,39.6810389788,-3.15289207705,62
Kilifi,Mtwapa Dispensary,14,504,504,504,126,126,6/30/2017,39.6810389788,-3.15289207705,63
Kilifi,Pingilikani Dispensary,1,36,36,36,9,9,6/30/2017,39.6810389788,-3.15289207705,64
Kilifi,Rabai Health Centre,9,324,324,324,81,81,6/30/2017,39.6810389788,-3.15289207705,65
Kilifi,Roka Dispensary,5,180,180,180,45,45,6/30/2017,39.6810389788,-3.15289207705,66
Kilifi,Sokoke Dispensary,1,36,36,36,9,9,6/30/2017,39.6810389788,-3.15289207705,67
Kilifi,St.Lukes Hospital,5,180,180,180,45,45,6/30/2017,39.6810389788,-3.15289207705,68
