,County,No_(PWA)_2018,Sunsreen_Lotions,Lip_Care,AfterSun_Lotions,Caps,Long_Sleeved_Tshirts,Total_Pop,Male_Pop,Female_Pop,No_PWA()_2019,Total_Male_PWA,Total_Female_PWA,Total_No_Products,percentage,Estmated_Sunscreen,Estmated_Lip_Care,Estmated_AfterSun_Lotions,Estmated_Caps,Estmated_Long Sleeved_Tshirts,Estimated_Total_No_Products
0,BARINGO,3,108,108,108,27,27,662760,333819,328929,76,44,32,378,2433.333333333333,2736.0,2736.0,2736.0,684.0,684.0,9576.0
1,BOMET,49,1764,1764,1764,441,441,873023,432591,440410,88,49,39,6174,79.59183673469387,3168.0,3168.0,3168.0,792.0,792.0,11088.0
2,BUNGOMA,229,8244,8244,8244,2061,2061,1663898,808115,855749,481,212,269,28854,110.04366812227073,17316.0,17316.0,17316.0,4329.0,4329.0,60606.0
3,BUSIA,34,1224,1224,1224,306,306,886856,421657,465171,314,143,171,4284,823.5294117647059,11304.0,11304.0,11304.0,2826.0,2826.0,39564.0
4,ELGEY/MARAKWET,1,36,36,36,9,9,453403,226606,226785,46,20,26,126,4500.0,1656.0,1656.0,1656.0,414.0,414.0,5796.0
5,EMBU,39,1404,1404,1404,351,351,604769,301491,303254,215,97,118,4914,451.28205128205127,7740.0,7740.0,7740.0,1935.0,1935.0,27090.0
6,GARISSA,16,576,576,576,144,144,835482,454437,381012,514,259,255,2016,3112.5,18504.0,18504.0,18504.0,4626.0,4626.0,64764.0
7,HOMA BAY,46,1656,1656,1656,414,414,1125823,536085,589717,375,169,206,5796,715.2173913043479,13500.0,13500.0,13500.0,3375.0,3375.0,47250.0
8,ISIOLO,4,144,144,144,36,36,267997,139510,128483,20,11,9,504,400.0,720.0,720.0,720.0,180.0,180.0,2520.0
9,KAJIADO,42,1512,1512,1512,378,378,1107296,550146,557118,115,57,58,5292,173.80952380952382,4140.0,4140.0,4140.0,1035.0,1035.0,14490.0
10,KAKAMEGA,210,7560,7560,7560,1890,1890,1861332,893121,968174,568,254,314,26460,170.47619047619048,20448.0,20448.0,20448.0,5112.0,5112.0,71568.0
11,KERICHO,43,1548,1548,1548,387,387,896863,447468,449367,59,28,31,5418,37.2093023255814,2124.0,2124.0,2124.0,531.0,531.0,7434.0
12,KIAMBU,153,5508,5508,5508,1377,1377,2402834,1178685,1224022,284,129,155,19278,85.62091503267973,10224.0,10224.0,10224.0,2556.0,2556.0,35784.0
13,KILIFI,109,3924,3924,3924,981,981,1440958,695879,745059,265,122,143,13734,143.11926605504587,9540.0,9540.0,9540.0,2385.0,2385.0,33390.0
14,KIRINYAGA,36,1296,1296,1296,324,324,605630,298845,306757,96,39,57,4536,166.66666666666669,3456.0,3456.0,3456.0,864.0,864.0,12096.0
15,KISII,320,11520,11520,11520,2880,2880,1260509,602031,658441,425,194,230,40320,32.8125,15300.0,15300.0,15300.0,3825.0,3825.0,53550.0
16,KISUMU,60,2160,2160,2160,540,540,1144777,553465,591289,298,125,173,7560,396.6666666666667,10728.0,10728.0,10728.0,2682.0,2682.0,37548.0
17,KITUI,135,4860,4860,4860,1215,1215,1130134,545080,585022,296,124,172,17010,119.25925925925927,10656.0,10656.0,10656.0,2664.0,2664.0,37296.0
18,KWALE,112,4032,4032,4032,1008,1008,858748,420556,438176,171,79,92,14112,52.67857142857143,6156.0,6156.0,6156.0,1539.0,1539.0,21546.0
